4.86 	8.67 	8.67
5.63 	7.07 	9.80
6.39 	7.30 	9.41
7.16 	6.17 	9.18
7.93 	6.39 	7.76
8.70 	6.62 	8.24
9.46 	6.39 	7.07
10.23 	6.39 	7.07
11.00 	6.39 	5.71
11.76 	5.94 	4.57
12.53 	5.48 	5.03
13.30 	6.17 	5.26
14.07 	5.26 	4.57
14.83 	5.71 	4.57
15.60 	5.94 	4.57
16.37 	6.17 	4.12
17.14 	5.03 	3.89
17.90 	6.39 	4.57
18.67 	6.39 	4.80
19.44 	7.07 	4.35
20.20 	6.62 	3.89
20.97 	6.85 	4.12
21.74 	6.17 	3.67
22.51 	6.39 	3.67
23.27 	6.17 	3.44
24.04 	6.39 	3.67
24.81 	5.94 	4.12
25.58 	5.26 	3.67
26.34 	5.03 	3.67
27.11 	6.17 	3.67
27.88 	6.17 	4.35
28.64 	6.17 	3.92
29.41 	5.26 	4.15
30.18 	4.80 	4.35
30.95 	5.48 	4.12
31.71 	5.26 	3.67
32.48 	5.71 	3.89
33.25 	5.71 	3.89
34.02 	5.48 	3.67
34.78 	5.03 	3.21
35.55 	5.48 	3.67
36.32 	5.26 	3.67
37.08 	5.26 	4.12
37.85 	5.03 	3.89
38.62 	4.80 	3.67
39.39 	5.03 	4.38
40.15 	4.80 	3.92
40.92 	5.03 	3.67
41.69 	4.80 	4.38
42.46 	5.71 	3.44
43.22 	5.71 	3.67
43.99 	5.94 	3.67
44.76 	5.48 	3.44
45.52 	5.48 	3.67
46.29 	5.48 	3.44
47.06 	5.48 	3.89
47.83 	5.48 	4.12
48.59 	5.48 	3.44
49.36 	5.71 	4.12
