4.86 	11.68 	11.68
5.12 	11.68 	9.18
5.37 	12.36 	8.72
5.63 	10.31 	8.04
5.88 	10.54 	7.81
6.14 	11.22 	7.36
6.39 	9.18 	7.36
6.65 	8.41 	6.36
6.91 	8.18 	6.82
7.16 	9.32 	6.59
7.42 	7.73 	5.68
7.67 	7.95 	5.68
7.93 	8.41 	5.68
8.18 	7.05 	4.77
8.44 	7.50 	5.91
8.70 	6.85 	4.32
8.95 	7.07 	5.23
9.21 	6.62 	5.45
9.46 	6.17 	5.23
9.72 	6.62 	5.45
9.97 	5.71 	5.45
10.23 	5.94 	5.68
10.49 	6.17 	5.45
10.74 	6.62 	5.23
11.00 	7.30 	5.23
11.25 	6.85 	5.45
11.51 	7.76 	5.45
11.76 	7.53 	4.80
12.02 	7.30 	5.48
12.28 	7.07 	5.48
12.53 	7.07 	5.94
12.79 	7.30 	5.31
13.04 	6.85 	4.86
13.30 	6.85 	5.09
13.55 	6.62 	4.35
13.81 	6.62 	4.35
14.07 	6.36 	4.57
14.32 	6.14 	4.12
14.58 	5.91 	4.12
14.83 	6.59 	4.12
15.09 	6.59 	4.35
15.35 	6.85 	4.12
15.60 	7.07 	3.89
15.86 	6.85 	4.12
16.11 	7.07 	3.44
16.37 	7.53 	3.44
16.62 	6.62 	3.89
16.88 	6.85 	3.89
17.14 	6.39 	3.41
17.39 	6.62 	3.67
17.65 	6.85 	3.18
17.90 	6.62 	3.89
18.16 	6.85 	4.35
18.41 	6.85 	4.57
18.67 	6.62 	3.89
18.93 	6.62 	4.57
19.18 	6.85 	4.57
19.44 	7.30 	3.89
19.69 	7.07 	4.12
