4.95 	18.69 	18.69
5.21 	17.24 	18.57
5.47 	18.05 	17.94
5.72 	17.30 	17.53
5.98 	16.20 	17.01
6.24 	15.68 	16.61
6.50 	16.32 	16.95
6.75 	15.62 	16.08
7.01 	15.74 	16.26
7.27 	16.09 	15.10
7.52 	15.45 	15.10
7.78 	15.39 	15.10
8.04 	14.76 	15.10
8.30 	14.18 	14.99
8.55 	14.82 	14.47
8.81 	14.58 	14.41
9.07 	13.95 	14.58
9.32 	13.02 	14.41
9.58 	13.14 	14.53
9.84 	12.85 	14.70
10.10 	13.37 	14.64
10.35 	12.79 	14.18
10.61 	13.08 	14.18
10.87 	12.50 	14.00
11.13 	12.90 	14.47
11.38 	13.02 	13.72
11.64 	12.21 	13.60
11.90 	12.27 	14.12
12.15 	12.27 	13.71
12.41 	12.33 	13.95
12.67 	12.10 	13.60
12.93 	11.75 	13.72
13.18 	11.63 	13.25
13.44 	11.57 	14.06
13.70 	11.17 	14.47
13.95 	11.52 	13.77
14.21 	11.34 	14.12
14.47 	11.57 	14.00
14.73 	11.17 	14.35
14.98 	11.40 	14.06
15.24 	11.40 	14.12
15.50 	11.34 	13.25
15.76 	11.69 	13.77
16.01 	11.17 	13.43
16.27 	11.17 	14.18
16.53 	11.34 	13.95
16.78 	11.57 	13.72
17.04 	11.23 	13.83
17.30 	11.63 	13.95
17.56 	11.58 	13.71
17.81 	11.23 	13.66
18.07 	11.23 	13.43
18.33 	11.40 	13.25
18.59 	11.23 	13.49
18.84 	11.17 	13.66
19.10 	10.94 	12.85
19.36 	10.82 	13.43
19.61 	11.11 	13.37
19.87 	10.76 	13.43
